id_dem,name,load_,id_bus,active,controllable,voll,contingency
1,DEM_NQ,100.0,1,true,false,17500.0,true
2,DEM_CQ,100.0,2,true,false,17500.0,true
3,DEM_GG,100.0,3,true,false,17500.0,true
4,DEM_SQ,100.0,4,true,false,17500.0,true
5,DEM_NNSW,100.0,5,true,false,17500.0,true
6,DEM_CNSW,100.0,6,true,false,17500.0,true
7,DEM_SNW,100.0,7,true,false,17500.0,true
8,DEM_SNSW,100.0,8,true,false,17500.0,true
9,DEM_VIC,100.0,9,true,false,17500.0,true
10,DEM_TAS,100.0,10,true,false,17500.0,true
11,DEM_CSA,100.0,11,true,false,17500.0,true
12,DEM_SESA,100.0,12,true,false,17500.0,true
13,DSP_NQ,0.0,1,true,true,17500.0,true
14,DSP_CQ,0.0,2,true,true,17500.0,true
15,DSP_GG,0.0,3,true,true,17500.0,true
16,DSP_SQ,0.0,4,true,true,17500.0,true
17,DSP_NNSW,0.0,5,true,true,17500.0,true
18,DSP_CNSW,0.0,6,true,true,17500.0,true
19,DSP_SNW,0.0,7,true,true,17500.0,true
20,DSP_SNSW,0.0,8,true,true,17500.0,true
21,DSP_VIC,0.0,9,true,true,17500.0,true
22,DSP_TAS,0.0,10,true,true,17500.0,true
23,DSP_CSA,0.0,11,true,true,17500.0,true
24,DSP_SESA,0.0,12,true,true,17500.0,true
